country_name,1995_total,2000_total,2005_total,2010_total,2015_total,2015_categories
Afghanistan,340097.0,811087.0,400806.0,1135949.0,540597.0,4
Albania,464584.0,263620.0,259187.0,340270.0,197511.0,3
Algeria,270244.0,310349.0,450568.0,568134.0,382934.0,3
Angola,79980.0,225799.0,86308.0,80314.0,75048.0,2
Antigua and Barbuda,7517.0,6924.0,7407.0,6642.0,7516.0,1
Argentina,356141.0,455659.0,546345.0,530723.0,496192.0,4
Armenia,650976.0,388464.0,280803.0,283365.0,159418.0,2
Aruba,1758.0,4525.0,4055.0,8573.0,7692.0,1
Australia,377734.0,1435891.0,760233.0,893872.0,884602.0,4
Austria,159207.0,236009.0,233196.0,279319.0,287907.0,3
Azerbaijan,386364.0,336883.0,221257.0,275211.0,189368.0,3
Bahamas,11596.0,15248.0,7902.0,9141.0,12432.0,1
Bahrain,59276.0,43931.0,45294.0,54009.0,114250.0,2
Bangladesh,1694262.0,1485456.0,2479282.0,4417597.0,3083626.0,4
Barbados,15245.0,14355.0,13210.0,12270.0,11759.0,1
Belarus,429191.0,328664.0,349065.0,293979.0,284668.0,3
Belgium,163081.0,184191.0,155344.0,186359.0,266560.0,3
Belize,21364.0,8032.0,12705.0,10795.0,14465.0,1
Benin,33542.0,101981.0,53279.0,91004.0,150932.0,2
Bhutan,96175.0,16677.0,14547.0,20895.0,20662.0,1
Bolivia (Plurinational State of),133103.0,137577.0,185379.0,204942.0,181946.0,2
Bosnia and Herzegovina,827213.0,304523.0,158813.0,147475.0,149769.0,2
Botswana,5850.0,8633.0,21325.0,32455.0,36341.0,1
Brazil,276627.0,285955.0,298461.0,341575.0,373860.0,3
Brunei Darussalam,28992.0,24940.0,19876.0,29787.0,21289.0,1
Bulgaria,415733.0,190765.0,197712.0,218091.0,211316.0,3
Burkina Faso,409495.0,393471.0,426780.0,434057.0,411000.0,3
Burundi,327273.0,472466.0,85973.0,73533.0,67490.0,2
Cambodia,34673.0,47940.0,139519.0,398251.0,280036.0,3
Cameroon,118263.0,117865.0,180758.0,198269.0,168650.0,2
Canada,869734.0,1024026.0,1033895.0,1238841.0,1129506.0,4
Cabo Verde,18404.0,18300.0,27331.0,43288.0,29511.0,1
Central African Republic,19691.0,22226.0,68960.0,53778.0,63513.0,2
Chad,89947.0,35718.0,68625.0,106996.0,96880.0,2
