country_name,code,notes,total_immigrants_1990,total_immigrants_1995,total_immigrants_2000,total_immigrants_2005,total_immigrants_2010,total_immigrants_2015,total_immigrants_2019,total_pop_1990,total_pop_1995,total_pop_2000,total_pop_2005,total_pop_2010,total_pop_2015,total_pop_2019,mig_pop_ratio_1990,mig_pop_ratio_1995,mig_pop_ratio_2000,mig_pop_ratio_2005,mig_pop_ratio_2010,mig_pop_ratio_2015,mig_pop_ratio_2019,2019_immigrant_categories
Burundi,108,B R,333110,254853,125628,172874,235259,289810,321018,5439,5987,6379,7365,8676,10160,11531,6.1,4.3,2.0,2.3,2.7,2.9,2.8,3
Comoros,174,B,14079,13939,13799,13209,12618,12555,12504,412,475,542,612,690,777,851,3.4,2.9,2.5,2.2,1.8,1.6,1.5,1
Djibouti,262,B R,122221,99774,100507,92091,101575,112351,115341,590,630,718,783,840,914,974,20.7,15.8,14.0,11.8,12.1,12.3,11.8,2
Eritrea,232,I,11848,12400,12952,14314,15676,15941,16101,2259,2204,2292,2827,3170,3343,3497,0.5,0.6,0.6,0.5,0.5,0.5,0.5,1
Ethiopia,231,B R,1155390,806904,611384,514242,568748,1161642,1253083,47888,57048,66225,76346,87640,100835,112079,2.4,1.4,0.9,0.7,0.6,1.2,1.1,4
Kenya,404,B R,298089,618745,707852,773354,954925,1126886,1044854,23725,27768,31965,36625,42031,47878,52574,1.3,2.2,2.2,2.1,2.3,2.4,2.0,4
Madagascar,450,C,23917,21177,23541,26058,28905,32075,34934,11599,13475,15767,18337,21152,24234,26969,0.2,0.2,0.1,0.1,0.1,0.1,0.1,2
Malawi,454,B R,1127724,241624,232620,221661,217722,232803,247652,9405,9844,11149,12626,14540,16745,18629,12.0,2.5,2.1,1.8,1.5,1.4,1.3,3
Mauritius,480,C,3613,7493,15543,19647,24836,28585,28849,1056,1129,1185,1222,1248,1259,1270,0.3,0.7,1.3,1.6,2.0,2.3,2.3,1
Mayotte,175,B,15229,26316,45474,63176,72757,73992,74643,95,123,150,178,209,240,266,16.1,21.4,30.2,35.5,34.9,30.8,28.0,2
Mozambique,508,B R,122332,168256,195702,264679,306471,321794,334665,12987,15483,17712,20494,23532,27042,30366,0.9,1.1,1.1,1.3,1.3,1.2,1.1,3
Réunion,638,B,57210,77159,100678,115076,123029,127209,129153,611,674,737,792,831,863,889,9.4,11.5,13.7,14.5,14.8,14.7,14.5,2
Rwanda,646,B R,160024,215735,347076,423187,426901,514647,539932,7289,5836,7934,8840,10039,11369,12627,2.2,3.7,4.4,4.8,4.3,4.5,4.3,3
Seychelles,690,B,3721,5148,6574,8997,11420,12791,12926,71,77,81,89,91,95,98,5.3,6.7,8.1,10.1,12.5,13.5,13.2,1
Somalia,706,I R,478294,19527,20097,20670,48106,40990,52131,7225,7492,8872,10447,12044,13797,15443,6.6,0.3,0.2,0.2,0.4,0.3,0.3,2
South Sudan,728,B R,0,0,0,0,257905,844122,865552,5493,5118,6199,7536,9508,10716,11062,0.0,..,0.0,0.0,2.7,7.9,7.8,4
Uganda,800,B R,544273,606987,584280,593308,492930,851175,1734166,17354,20413,23650,27685,32428,38225,44270,3.1,3,2.5,2.1,1.5,2.2,3.9,4
United Republic of Tanzania,834,B R,574025,1106043,949600,771153,309847,384567,509166,25204,29649,33499,38450,44347,51483,58005,2.3,3.7,2.8,2.0,0.7,0.7,0.9,3
Zambia,894,B R,279463,244338,343703,252895,149962,132107,170249,8037,9097,10416,11856,13606,15879,17861,3.5,2.7,3.3,2.1,1.1,0.8,1.0,2
Zimbabwe,716,B R,634621,431226,410109,402226,398307,400482,411257,10432,11411,11881,12077,12698,13815,14645,6.1,3.8,3.5,3.3,3.1,2.9,2.8,3
Angola,24,B R,33517,39813,46108,61329,332126,632178,669479,11848,13945,16395,19434,23356,27884,31825,0.3,0.3,0.3,0.3,1.4,2.3,2.1,3
Cameroon,120,B,265967,244791,227242,265503,291474,508346,505692,11780,13600,15514,17733,20341,23298,25876,2.3,1.8,1.5,1.5,1.4,2.2,2.0,3
